text,label
"45-minute training session",activity
"Engage in a 45-minute workout",activity
"Yoga session for 1 hour",activity
"Practice yoga for 1 hour",activity
"Do a 1-hour yoga session",activity
"1 hour of yoga practice",activity
"Complete a yoga session lasting 1 hour",activity
"Attend a 1-hour yoga class",activity
"1 hour yoga workout",activity
"Engage in a 1-hour yoga session",activity
"Practice a 1-hour session of yoga",activity
"Spend 1 hour on yoga",activity
"Practice piano for 30 minutes",activity
"30 minutes of piano practice",activity
"Do a 30-minute piano session",activity
"Play piano for 30 minutes",activity
"30-minute piano practice",activity
"Spend 30 minutes practicing piano",activity
"Piano practice for 30 minutes",activity
"Engage in 30 minutes of piano practice",activity
"Practice the piano for 30 minutes",activity
"30 minutes of practicing piano",activity
"Study for the exam for 2 hours",activity
"2-hour exam study session",activity
"Spend 2 hours studying for the exam",activity
"Prepare for the exam for 2 hours",activity
"2 hours of exam preparation",activity
"Study session for the exam lasting 2 hours",activity
"Dedicate 2 hours to exam studying",activity
"Exam study for 2 hours",activity
"2 hours spent on exam preparation",activity
"Study for the upcoming exam for 2 hours",activity
"Read a book for 20 minutes",activity
"20 minutes of reading a book",activity
"Spend 20 minutes reading a book",activity
"Read for 20 minutes",activity
"20-minute book reading session",activity
"Enjoy reading a book for 20 minutes",activity
"Dedicate 20 minutes to reading",activity
"Read a book over 20 minutes",activity
"Spend 20 minutes on book reading",activity
"20 minutes of reading time",activity
"Jogging for 30 minutes",activity
"Go jogging for 30 minutes",activity
"30-minute jogging session",activity
"Spend 30 minutes jogging",activity
"Do a 30-minute jog",activity
"30 minutes of jogging",activity
"Engage in a 30-minute jogging session",activity
"Run for 30 minutes",activity
"30-minute run/jog session",activity
"Jog for 30 minutes",activity
"Meditate for 15 minutes",activity
"15-minute meditation session",activity
"Spend 15 minutes meditating",activity
"Do a 15-minute meditation",activity
"15 minutes of meditation",activity
"Engage in a 15-minute meditation",activity
"15 minutes of mindfulness meditation",activity
"Meditation for 15 minutes",activity
"Take 15 minutes to meditate",activity
"Meditate for 15 minutes daily",activity
